133.0183.490; ist nicht vorhanden
133.0183.491; ist nicht vorhanden
114.0477.502; ist nicht vorhanden
133.0183.493; ist nicht vorhanden
133.0382.960; ist nicht vorhanden
133.0183.494; ist nicht vorhanden
114.0477.504; ist nicht vorhanden
114.0477.532; ist nicht vorhanden
133.0004.827; ist nicht vorhanden
133.0382.983; ist nicht vorhanden
133.0183.555; ist nicht vorhanden
114.0477.534; ist nicht vorhanden
133.0183.633; ist nicht vorhanden
133.0383.373; ist nicht vorhanden
133.0183.634; ist nicht vorhanden
133.0383.391; ist nicht vorhanden
101.0028.269; ist nicht vorhanden
133.0383.393; ist nicht vorhanden
133.0183.636; ist nicht vorhanden
101.0028.270; ist nicht vorhanden
133.0183.644; ist nicht vorhanden
133.0183.645; ist nicht vorhanden
101.0029.732; ist nicht vorhanden
133.0383.395; ist nicht vorhanden
114.0477.540; ist nicht vorhanden
101.0030.226; ist nicht vorhanden
114.0477.551; ist nicht vorhanden
133.0183.647; ist nicht vorhanden
133.0383.419; ist nicht vorhanden
133.0183.648; ist nicht vorhanden
101.0030.228; ist nicht vorhanden
114.0477.553; ist nicht vorhanden
114.0477.554; ist nicht vorhanden
133.0183.659; ist nicht vorhanden
133.0383.422; ist nicht vorhanden
101.0033.193; ist nicht vorhanden
114.0477.557; ist nicht vorhanden
133.0383.423; ist nicht vorhanden
133.0004.990; ist nicht vorhanden
133.0383.424; ist nicht vorhanden
101.0042.957; ist nicht vorhanden
133.0005.002; ist nicht vorhanden
133.0183.666; ist nicht vorhanden
114.0477.560; ist nicht vorhanden
133.0383.432; ist nicht vorhanden
101.0043.207; ist nicht vorhanden
133.0183.667; ist nicht vorhanden
101.0043.209; ist nicht vorhanden
114.0477.964; ist nicht vorhanden
101.0043.210; ist nicht vorhanden
133.0005.007; ist nicht vorhanden
114.0477.965; ist nicht vorhanden
101.0045.978; ist nicht vorhanden
133.0383.566; ist nicht vorhanden
133.0183.697; ist nicht vorhanden
